"id","activity","variable","value"
7,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0166332372978723
7,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0275639005607843
8,"LAYING","tBodyAccmeanYAverage",-0.0212281733881481
8,"SITTING","tBodyAccmeanYAverage",-0.00672550621304348
8,"STANDING","tBodyAccmeanYAverage",-0.0148113067148148
8,"WALKING","tBodyAccmeanYAverage",-0.0186628865310417
8,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0211058674973684
8,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0282415136341463
9,"LAYING","tBodyAccmeanYAverage",-0.020526821662
9,"SITTING","tBodyAccmeanYAverage",-0.02701677698
9,"STANDING","tBodyAccmeanYAverage",-0.0200454954022222
9,"WALKING","tBodyAccmeanYAverage",-0.0180891971284423
9,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0203994269075476
9,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0195101099975714
10,"LAYING","tBodyAccmeanYAverage",-0.024294484137931
10,"SITTING","tBodyAccmeanYAverage",-0.015042681852037
10,"STANDING","tBodyAccmeanYAverage",-0.0155418603409091
10,"WALKING","tBodyAccmeanYAverage",-0.017022351190566
10,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0200050770710526
10,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0143854920340426
11,"LAYING","tBodyAccmeanYAverage",-0.0176598052315789
11,"SITTING","tBodyAccmeanYAverage",-0.0149195616754717
11,"STANDING","tBodyAccmeanYAverage",-0.0171990886595745
11,"WALKING","tBodyAccmeanYAverage",-0.0166475833623729
11,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0178097721219565
11,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0303157822055556
12,"LAYING","tBodyAccmeanYAverage",-0.0175203917146667
12,"SITTING","tBodyAccmeanYAverage",-0.0157892988523529
12,"STANDING","tBodyAccmeanYAverage",-0.0169002543196721
12,"WALKING","tBodyAccmeanYAverage",-0.015560927606
12,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.018084266865793
12,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0263574903403846
13,"LAYING","tBodyAccmeanYAverage",-0.020440454366129
13,"SITTING","tBodyAccmeanYAverage",-0.00587732936326531
13,"STANDING","tBodyAccmeanYAverage",-0.0167891993964912
13,"WALKING","tBodyAccmeanYAverage",-0.0185660651947368
13,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0143723839108511
13,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0277392253910909
14,"LAYING","tBodyAccmeanYAverage",-0.0113424652490196
14,"SITTING","tBodyAccmeanYAverage",-0.00870565463888889
14,"STANDING","tBodyAccmeanYAverage",-0.01520781344
14,"WALKING","tBodyAccmeanYAverage",-0.0217785380966102
14,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0200141413657778
14,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0204388180024074
15,"LAYING","tBodyAccmeanYAverage",-0.0166296542054167
15,"SITTING","tBodyAccmeanYAverage",-0.0117188472271186
15,"STANDING","tBodyAccmeanYAverage",-0.0183516360396226
15,"WALKING","tBodyAccmeanYAverage",-0.0170809740090741
15,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.00563047804309524
15,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0287523860708333
16,"LAYING","tBodyAccmeanYAverage",-0.0166103510562857
16,"SITTING","tBodyAccmeanYAverage",-0.0102497939956522
16,"STANDING","tBodyAccmeanYAverage",-0.0165999672935897
16,"WALKING","tBodyAccmeanYAverage",-0.0204286929452941
16,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0183898583787234
16,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0143654945011765
17,"LAYING","tBodyAccmeanYAverage",-0.0168462006729577
17,"SITTING","tBodyAccmeanYAverage",-0.014156274084375
17,"STANDING","tBodyAccmeanYAverage",-0.0174120064169231
17,"WALKING","tBodyAccmeanYAverage",-0.0184875403339344
17,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0167359404347826
17,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0228645614308333
18,"LAYING","tBodyAccmeanYAverage",-0.0173937684615385
18,"SITTING","tBodyAccmeanYAverage",-0.0128691279736842
18,"STANDING","tBodyAccmeanYAverage",-0.0166353518150685
18,"WALKING","tBodyAccmeanYAverage",-0.0178023631866071
18,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0168666920221818
18,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0222060684378914
19,"LAYING","tBodyAccmeanYAverage",-0.0171426864421687
19,"SITTING","tBodyAccmeanYAverage",-0.016739260030137
19,"STANDING","tBodyAccmeanYAverage",-0.0154244056945205
19,"WALKING","tBodyAccmeanYAverage",-0.0191773587903846
19,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0145942275069487
19,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0303986615775
20,"LAYING","tBodyAccmeanYAverage",-0.0144406281132353
20,"SITTING","tBodyAccmeanYAverage",-0.0147229305131818
20,"STANDING","tBodyAccmeanYAverage",-0.0180695049161644
20,"WALKING","tBodyAccmeanYAverage",-0.021199992245098
20,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.00964120773155556
20,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0282258047588235
21,"LAYING","tBodyAccmeanYAverage",-0.0184233048415556
21,"SITTING","tBodyAccmeanYAverage",-0.0144009705494118
21,"STANDING","tBodyAccmeanYAverage",-0.0167084730205618
21,"WALKING","tBodyAccmeanYAverage",-0.0181610317526923
21,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0173195390157778
21,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0237218695148936
22,"LAYING","tBodyAccmeanYAverage",-0.0142629864502778
22,"SITTING","tBodyAccmeanYAverage",-0.0123468446419355
22,"STANDING","tBodyAccmeanYAverage",-0.0158563207496825
22,"WALKING","tBodyAccmeanYAverage",-0.0167213607957174
22,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0197999371686389
22,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0268622561133333
23,"LAYING","tBodyAccmeanYAverage",-0.0216553835833333
23,"SITTING","tBodyAccmeanYAverage",-0.0133945015676471
23,"STANDING","tBodyAccmeanYAverage",-0.0177475547867647
23,"WALKING","tBodyAccmeanYAverage",-0.0183618711932203
23,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0162111457238889
23,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0323844029237255
24,"LAYING","tBodyAccmeanYAverage",-0.0173555210111111
24,"SITTING","tBodyAccmeanYAverage",-0.0131255097938235
24,"STANDING","tBodyAccmeanYAverage",-0.0144785340348986
24,"WALKING","tBodyAccmeanYAverage",-0.0225446400534483
24,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0145730348310909
24,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0251979434569492
25,"LAYING","tBodyAccmeanYAverage",-0.0188943663671233
25,"SITTING","tBodyAccmeanYAverage",-0.0147696808030769
25,"STANDING","tBodyAccmeanYAverage",-0.0163569730274324
25,"WALKING","tBodyAccmeanYAverage",-0.0186477624716216
25,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0210170522987931
25,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0269863524264615
26,"LAYING","tBodyAccmeanYAverage",-0.0191895728026316
26,"SITTING","tBodyAccmeanYAverage",-0.00713364541358974
26,"STANDING","tBodyAccmeanYAverage",-0.0166608306652703
26,"WALKING","tBodyAccmeanYAverage",-0.0154259586949153
26,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.01262580966778
26,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0281633797398182
27,"LAYING","tBodyAccmeanYAverage",-0.0179867611216216
27,"SITTING","tBodyAccmeanYAverage",-0.0155269799285714
27,"STANDING","tBodyAccmeanYAverage",-0.016593236445
27,"WALKING","tBodyAccmeanYAverage",-0.0166478783221912
27,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0135564467159091
27,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0200953324078431
28,"LAYING","tBodyAccmeanYAverage",-0.0167537858225
28,"SITTING","tBodyAccmeanYAverage",-0.0185404441258333
28,"STANDING","tBodyAccmeanYAverage",-0.0172635124672152
28,"WALKING","tBodyAccmeanYAverage",-0.0156759722981481
28,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0220230465913043
28,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0279443943478431
29,"LAYING","tBodyAccmeanYAverage",-0.0171965484202899
29,"SITTING","tBodyAccmeanYAverage",-0.016630680375
29,"STANDING","tBodyAccmeanYAverage",-0.0172605869061538
29,"WALKING","tBodyAccmeanYAverage",-0.0162915600588679
29,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.01494121505625
29,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0299465312326531
30,"LAYING","tBodyAccmeanYAverage",-0.0194494098614286
30,"SITTING","tBodyAccmeanYAverage",-0.00804731295322581
30,"STANDING","tBodyAccmeanYAverage",-0.0170163887813559
30,"WALKING","tBodyAccmeanYAverage",-0.0175880385730769
30,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0174383900204839
30,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0253311698786154
1,"LAYING","tBodyAccmeanZAverage",-0.11320355358
1,"SITTING","tBodyAccmeanZAverage",-0.104544182255319
1,"STANDING","tBodyAccmeanZAverage",-0.110601817735849
1,"WALKING","tBodyAccmeanZAverage",-0.111148103547368
1,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.107566190908163
1,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.0973020020943396
2,"LAYING","tBodyAccmeanZAverage",-0.107245610416667
2,"SITTING","tBodyAccmeanZAverage",-0.109218272456522
2,"STANDING","tBodyAccmeanZAverage",-0.105908536055556
2,"WALKING","tBodyAccmeanZAverage",-0.105500357966102
2,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.116812942382979
2,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.152513899520833
3,"LAYING","tBodyAccmeanZAverage",-0.101300477506452
3,"SITTING","tBodyAccmeanZAverage",-0.0983579203269231
3,"STANDING","tBodyAccmeanZAverage",-0.101621722633148
3,"WALKING","tBodyAccmeanZAverage",-0.112674859827586
3,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.116139842908163
3,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.110064863437288
4,"LAYING","tBodyAccmeanZAverage",-0.110688150314815
4,"SITTING","tBodyAccmeanZAverage",-0.10587459588
4,"STANDING","tBodyAccmeanZAverage",-0.0961574905535714
4,"WALKING","tBodyAccmeanZAverage",-0.11140306485
4,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.1067775246
4,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.114219455519231
5,"LAYING","tBodyAccmeanZAverage",-0.107937603673077
5,"SITTING","tBodyAccmeanZAverage",-0.108540300265909
5,"STANDING","tBodyAccmeanZAverage",-0.102171095696429
5,"WALKING","tBodyAccmeanZAverage",-0.107741776464286
5,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.100319930659574
5,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.107471453914894
6,"LAYING","tBodyAccmeanZAverage",-0.133119570368421
6,"SITTING","tBodyAccmeanZAverage",-0.110127728709091
6,"STANDING","tBodyAccmeanZAverage",-0.112172831947368
6,"WALKING","tBodyAccmeanZAverage",-0.110303165877193
6,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.107209356208333
6,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.122082438784314
7,"LAYING","tBodyAccmeanZAverage",-0.101361036576923
7,"SITTING","tBodyAccmeanZAverage",-0.122464597625
7,"STANDING","tBodyAccmeanZAverage",-0.0997778303207547
7,"WALKING","tBodyAccmeanZAverage",-0.110912234947368
7,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.096938308587234
7,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.143769688803922
8,"LAYING","tBodyAccmeanZAverage",-0.102245365611111
8,"SITTING","tBodyAccmeanZAverage",-0.104461049130435
8,"STANDING","tBodyAccmeanZAverage",-0.106114996837037
8,"WALKING","tBodyAccmeanZAverage",-0.107252090833333
8,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.107598135394737
8,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.11512211995122
9,"LAYING","tBodyAccmeanZAverage",-0.10754972144
9,"SITTING","tBodyAccmeanZAverage",-0.07537846886
9,"STANDING","tBodyAccmeanZAverage",-0.0952747481333333
9,"WALKING","tBodyAccmeanZAverage",-0.110820512307692
9,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.0910278793952381
9,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.125219003959184
10,"LAYING","tBodyAccmeanZAverage",-0.117168642362069
10,"SITTING","tBodyAccmeanZAverage",-0.104253238796296
10,"STANDING","tBodyAccmeanZAverage",-0.107964083931818
10,"WALKING","tBodyAccmeanZAverage",-0.109057512132075
10,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.110848597247368
10,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.118180420834043
11,"LAYING","tBodyAccmeanZAverage",-0.108786578070175
11,"SITTING","tBodyAccmeanZAverage",-0.112840218339623
11,"STANDING","tBodyAccmeanZAverage",-0.108686630425532
11,"WALKING","tBodyAccmeanZAverage",-0.106096304033898
11,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.111070149978261
11,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.106797216481481
12,"LAYING","tBodyAccmeanZAverage",-0.108160125666667
12,"SITTING","tBodyAccmeanZAverage",-0.106307228960784
12,"STANDING","tBodyAccmeanZAverage",-0.105526999754098
12,"WALKING","tBodyAccmeanZAverage",-0.10316110632
12,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.10955593226087
12,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.107339730115385
13,"LAYING","tBodyAccmeanZAverage",-0.104331864532258
13,"SITTING","tBodyAccmeanZAverage",-0.0972465110836735
13,"STANDING","tBodyAccmeanZAverage",-0.112124137754386
13,"WALKING","tBodyAccmeanZAverage",-0.111431456192982
13,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.101993941531915
13,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.125767265890909
14,"LAYING","tBodyAccmeanZAverage",-0.0868333315509804
14,"SITTING","tBodyAccmeanZAverage",-0.100401490425926
14,"STANDING","tBodyAccmeanZAverage",-0.103817701790667
14,"WALKING","tBodyAccmeanZAverage",-0.106756369135593
14,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.0928330165533333
14,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.112279688983333
15,"LAYING","tBodyAccmeanZAverage",-0.118530240291667
15,"SITTING","tBodyAccmeanZAverage",-0.11366125320339
15,"STANDING","tBodyAccmeanZAverage",-0.105910832679245
15,"WALKING","tBodyAccmeanZAverage",-0.107621819518519
15,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.110526066428571
15,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.116952464895833
16,"LAYING","tBodyAccmeanZAverage",-0.107310493242857
16,"SITTING","tBodyAccmeanZAverage",-0.0891404038405797
16,"STANDING","tBodyAccmeanZAverage",-0.103657729076923
16,"WALKING","tBodyAccmeanZAverage",-0.108804049803922
16,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.119873705148936
16,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.124074517745098
17,"LAYING","tBodyAccmeanZAverage",-0.107006279704225
17,"SITTING","tBodyAccmeanZAverage",-0.11362408509375
17,"STANDING","tBodyAccmeanZAverage",-0.111432145565
17,"WALKING","tBodyAccmeanZAverage",-0.109792122032787
17,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.0892432745173913
17,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.121290442104167
18,"LAYING","tBodyAccmeanZAverage",-0.107698927907692
18,"SITTING","tBodyAccmeanZAverage",-0.111904775824561
18,"STANDING","tBodyAccmeanZAverage",-0.108453355945205
18,"WALKING","tBodyAccmeanZAverage",-0.104218315464286
18,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.1033908092
18,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.112655891327586
19,"LAYING","tBodyAccmeanZAverage",-0.10898146186747
19,"SITTING","tBodyAccmeanZAverage",-0.10870765430137
19,"STANDING","tBodyAccmeanZAverage",-0.10904190460274
19,"WALKING","tBodyAccmeanZAverage",-0.122736673192308
19,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.133695240660974
19,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.151054607725
20,"LAYING","tBodyAccmeanZAverage",-0.104274322538235
20,"SITTING","tBodyAccmeanZAverage",-0.108369634515152
20,"STANDING","tBodyAccmeanZAverage",-0.100402759931507
20,"WALKING","tBodyAccmeanZAverage",-0.113539477098039
20,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.104602925937778
20,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.121023947784314
21,"LAYING","tBodyAccmeanZAverage",-0.103253832233333
21,"SITTING","tBodyAccmeanZAverage",-0.112057887741176
21,"STANDING","tBodyAccmeanZAverage",-0.110417855808989
21,"WALKING","tBodyAccmeanZAverage",-0.104319332403846
21,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.09816866218
21,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.125414265340426
22,"LAYING","tBodyAccmeanZAverage",-0.110800924652778
22,"SITTING","tBodyAccmeanZAverage",-0.105827369516129
22,"STANDING","tBodyAccmeanZAverage",-0.104967423820635
22,"WALKING","tBodyAccmeanZAverage",-0.107112510934783
22,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.1074157796
22,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.117550861738095
23,"LAYING","tBodyAccmeanZAverage",-0.104256776291667
23,"SITTING","tBodyAccmeanZAverage",-0.103808679294118
23,"STANDING","tBodyAccmeanZAverage",-0.1105970177575
23,"WALKING","tBodyAccmeanZAverage",-0.113382994084746
23,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.0988123712574074
23,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.126890616782353
24,"LAYING","tBodyAccmeanZAverage",-0.107236237236111
24,"SITTING","tBodyAccmeanZAverage",-0.103041061426471
24,"STANDING","tBodyAccmeanZAverage",-0.108222553855072
24,"WALKING","tBodyAccmeanZAverage",-0.110595952913793
24,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.104818820272727
24,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.114248610966102
25,"LAYING","tBodyAccmeanZAverage",-0.100428830260274
25,"SITTING","tBodyAccmeanZAverage",-0.109160440476923
25,"STANDING","tBodyAccmeanZAverage",-0.107352957594595
25,"WALKING","tBodyAccmeanZAverage",-0.108737636297297
25,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.107192376965517
25,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.126210440292308
26,"LAYING","tBodyAccmeanZAverage",-0.105002540289474
26,"SITTING","tBodyAccmeanZAverage",-0.0974448692333333
26,"STANDING","tBodyAccmeanZAverage",-0.110237796416216
26,"WALKING","tBodyAccmeanZAverage",-0.108927011474576
26,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.1064396194
26,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.121943461236364
27,"LAYING","tBodyAccmeanZAverage",-0.107699732837838
27,"SITTING","tBodyAccmeanZAverage",-0.105521912588571
27,"STANDING","tBodyAccmeanZAverage",-0.107835818025
27,"WALKING","tBodyAccmeanZAverage",-0.112822289263158
27,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.112837694688636
27,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.123530438196078
28,"LAYING","tBodyAccmeanZAverage",-0.1083448529625
28,"SITTING","tBodyAccmeanZAverage",-0.111517939555556
28,"STANDING","tBodyAccmeanZAverage",-0.106579385202532
28,"WALKING","tBodyAccmeanZAverage",-0.103714705396296
28,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.10858897408913
28,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.121514025692157
29,"LAYING","tBodyAccmeanZAverage",-0.109462068173913
29,"SITTING","tBodyAccmeanZAverage",-0.1104118192
29,"STANDING","tBodyAccmeanZAverage",-0.108659067476923
29,"WALKING","tBodyAccmeanZAverage",-0.106632427301887
29,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.0981339984895833
29,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.118000587840816
30,"LAYING","tBodyAccmeanZAverage",-0.1036581505
30,"SITTING","tBodyAccmeanZAverage",-0.099515446133871
30,"STANDING","tBodyAccmeanZAverage",-0.108756209835593
30,"WALKING","tBodyAccmeanZAverage",-0.0986247068969231
30,"WALKING_DOWNSTAIRS","tBodyAccmeanZAverage",-0.0999781422322581
30,"WALKING_UPSTAIRS","tBodyAccmeanZAverage",-0.124697493775385
1,"LAYING","tBodyAccstdXAverage",-0.9280564692
1,"SITTING","tBodyAccstdXAverage",-0.977229008297872
1,"STANDING","tBodyAccstdXAverage",-0.995759901509434
1,"WALKING","tBodyAccstdXAverage",-0.283740258842105
1,"WALKING_DOWNSTAIRS","tBodyAccstdXAverage",0.0300353383483878
1,"WALKING_UPSTAIRS","tBodyAccstdXAverage",-0.35470802509434
2,"LAYING","tBodyAccstdXAverage",-0.974059464791667
2,"SITTING","tBodyAccstdXAverage",-0.986822279565217
2,"STANDING","tBodyAccstdXAverage",-0.987271889259259
2,"WALKING","tBodyAccstdXAverage",-0.423642838474576
2,"WALKING_DOWNSTAIRS","tBodyAccstdXAverage",0.0463666814446808
2,"WALKING_UPSTAIRS","tBodyAccstdXAverage",-0.304376406458333
3,"LAYING","tBodyAccstdXAverage",-0.982776639193548
3,"SITTING","tBodyAccstdXAverage",-0.971010120961538
3,"STANDING","tBodyAccstdXAverage",-0.96674254295082
3,"WALKING","tBodyAccstdXAverage",-0.360356726034483
3,"WALKING_DOWNSTAIRS","tBodyAccstdXAverage",-0.0574100475102041
3,"WALKING_UPSTAIRS","tBodyAccstdXAverage",-0.313123437627119
4,"LAYING","tBodyAccstdXAverage",-0.954193738888889
4,"SITTING","tBodyAccstdXAverage",-0.980309931
4,"STANDING","tBodyAccstdXAverage",-0.97692058
4,"WALKING","tBodyAccstdXAverage",-0.440829971333333
4,"WALKING_DOWNSTAIRS","tBodyAccstdXAverage",0.0111935496222222
4,"WALKING_UPSTAIRS","tBodyAccstdXAverage",-0.204933042903846
5,"LAYING","tBodyAccstdXAverage",-0.965934509615385
5,"SITTING","tBodyAccstdXAverage",-0.980945022045455
5,"STANDING","tBodyAccstdXAverage",-0.968591815714286
5,"WALKING","tBodyAccstdXAverage",-0.294098534232143
5,"WALKING_DOWNSTAIRS","tBodyAccstdXAverage",0.275046110468085
5,"WALKING_UPSTAIRS","tBodyAccstdXAverage",-0.0457237779851064
6,"LAYING","tBodyAccstdXAverage",-0.934049422052632
6,"SITTING","tBodyAccstdXAverage",-0.980164933636364
6,"STANDING","tBodyAccstdXAverage",-0.981758159649123
6,"WALKING","tBodyAccstdXAverage",-0.296538717368421
6,"WALKING_DOWNSTAIRS","tBodyAccstdXAverage",0.383681639791667
6,"WALKING_UPSTAIRS","tBodyAccstdXAverage",-0.0501350188513725
7,"LAYING","tBodyAccstdXAverage",-0.93651361
7,"SITTING","tBodyAccstdXAverage",-0.972668374583333
7,"STANDING","tBodyAccstdXAverage",-0.979307570377358
7,"WALKING","tBodyAccstdXAverage",-0.327243240701754
7,"WALKING_DOWNSTAIRS","tBodyAccstdXAverage",0.0660815600978723
7,"WALKING_UPSTAIRS","tBodyAccstdXAverage",-0.29487297445098
8,"LAYING","tBodyAccstdXAverage",-0.94304121537037
8,"SITTING","tBodyAccstdXAverage",-0.979026152391304
